0x803d64,Name,Description,ID,Support Class,Portrait,Map Portrait,Affinity,Unit Sort Order,Lv,HP,Atk,Skl,Spd,Def,Res,Luck,Con,Sword,Lance,Axe,Bow,Staff,Anima,Light,Dark,HP Growth,Atk Growth,Skl Growth,Spd Growth,Def Growth,Res Growth,Luck Growth,N/A,N/A2,N/A3,N/A4,N/A5,CharClassAbility,Support Data Ptr,N/A (Conversation Group),N/A6,N/A7,N/A8
Klaudia,KlaudiaName,KlaudiaDesc,Klaudia,MageLord,KlaudiaMug,0x0,WindAffinity,0x1,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,49,28,49,49,42,28,42,0x0,0x0,0x0,0x0,0x0,0x0,KlaudiaSupportTable|IsPointer,0x7,0x0,0x0,0x0
Omen,OmenName,OmenDesc,Omen,RunelordF,OmenMug,0x0,AnimaAffinity,0x3,1,0,0,0,0,0,0,0,0,BRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,90,50,45,45,40,30,25,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebdc,0x3,0x0,0x0,0x0
Josephine,JosephineName,JosephineDesc,Josephine,MageArmor,JosephineMug,0x0,ThunderAffinity,0x7,4,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,90,45,35,30,55,20,30,0x0,0x0,0x0,0x0,0x0,0x0,JosephineSupportTable|IsPointer,0x4,0x0,0x0,0x0
Cam,CamName,CamDesc,Cam,PirateF,CamMug,0x0,LightAffinity,0x6,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,40,40,50,25,20,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aebf4,0x3,0x0,0x0,0x0
Giselle,GiselleName,GiselleDesc,Giselle,ThiefF,GiselleMug,0x0,AnimaAffinity,0x8,3,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,70,40,50,40,25,25,20,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec24,0x4,0x0,0x0,0x0
Levia,LeviaName,LeviaDesc,Levia,Princess,LeviaMug,0x0,FireAffinity,0x9,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,50,35,55,60,20,30,50,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec3c,0xa,0x0,0x0,0x0
Stuart,StuartName,StuartDesc,Stuart,SwordArmor,0x9,0x0,FireAffinity,0xa,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,70,50,35,30,25,20,40,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec6c,0x5,0x0,0x0,0x0
Bear,BearName,BearDesc,Bear,WoodsmanM,0xa,0x0,FireAffinity,0xb,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,55,45,50,60,15,35,50,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec9c,0x7,0x0,0x0,0x0
Estella,EstellaName,EstellaDesc,Estella,LanceArmor,0xc,0x0,LightAffinity,0xc,2,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,75,40,40,65,25,20,45,0x0,0x0,0x0,0x0,0x0,0x0,0x88aec84,0x0,0x0,0x0,0x0
Carina,CarinaName,CarinaDesc,Carina,Cleric,CarinaMug,0x0,FireAffinity,0xd,4,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,80,65,40,20,25,15,40,0x0,0x0,0x0,0x0,0x0,0x0,CarinaSupportTable|IsPointer,0x1,0x0,0x0,0x0
Alma,AlmaName,AlmaDesc,Alma,DarkMage,AlmaMug,0x0,IceAffinity,0x14,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,75,40,40,45,20,25,45,0x0,0x0,0x0,0x0,0x0,0x0,AlmaSupportTable|IsPointer,0x0,0x0,0x0,0x0
Roswell,RoswellName,RoswellDesc,Roswell,AxeCavF,0x10,0x0,AnimaAffinity,0xf,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,45,65,30,45,15,40,45,0x0,0x0,0x0,0x0,0x0,0x0,0x88aeccc,0x7,0x0,0x0,0x0
Hong Chen,HongChenName,HongChenDesc,HongChen,MyrmidonM,0x11,0x0,IceAffinity,0x10,1,0,0,0,0,0,0,0,0,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,NoRank,50,60,25,40,15,55,60,0x0,0x0,0x0,0x0,0x0,0x0,0x88aece4,0xa,0x0,0x0,0x0
