INLINE PersonalDataTable,Full Name,Pronouns,Hobby,Birthday,Age,Height
0x0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Klaudia,KlaudiaFullName,SheHer,KlaudiaHobby,October27,Age21,SixFoot0
Omen,OmenFullName,HeHim,OmenHobby,July29,Age49,FiveFoot9
Josephine,JosephineFullName,SheThey,JosephineHobby,January20,Age28,FiveFoot8
Cam,CamFullName,SheHe,CamHobby,March31,Age25,FiveFoot9
Giselle,GiselleFullName,SheHer,GiselleHobby,May23,Age17,FiveFoot2
Levia,LeviaFullName,SheHer,LeviaHobby,November16,Age21,FiveFoot7
Stuart,StuartFullName,HeHim,StuartHobby,0x0000,Age28,FiveFoot9
Bear,BearFullName,HeHim,CamHobby,0x0000,Age24,SixFoot5
Estella,EstellaFullName,SheHer,EstellaHobby,0x0000,Age17,FiveFoot2
Carina,CarinaFullName,SheHer,CarinaHobby,0x0000,Age31,FiveFoot11
Alma,AlmaFullName,HeThey,AlmaHobby,0x0000,Age27,0x0000
Roswell,RoswellFullName,TheyThem,RoswellHobby,0x0000,Age23,SixFoot2
Hong Chen,HongChenFullName,TheyHe,HongChenHobby,0x0000,Age32,FiveFoot6
Maris,MarisFullName,SheHer,MarisHobby,0x0000,Age21,FiveFoot4
Phillipa,PhillipaFullName,SheHer,PhillipaHobby,0x0000,Age24,FiveFoot9
Maeve,MaeveFullName,SheHer,MaeveHobby,0x0000,Age33,FiveFoot6
Evren,EvrenFullName,HeThey,EvrenHobby,0x0000,Age28,FiveFoot11
Dane,DaneFullName,HeHim,DaneHobby,0x0000,Age35,FiveFoot10
Ulrich,UlrichFullName,HeHim,UlrichHobby,0x0000,Age18,FiveFoot3
Emille,EmilleFullName,SheThey,EmilleHobby,0x0000,Age18,FiveFoot3
Maybelline,MaybellineFullName,SheHer,MaybellineHobby,0x0000,Age24,0x0000
Lux,LuxFullName,HeHim,LuxHobby,0x0000,Age18,FiveFoot8
Bria,BriaFullName,SheHer,BriaHobby,0x0000,Age22,FiveFoot6
Elliot,ElliotFullName,HeHim,ElliotHobby,0x0000,Age14,0x0000
Kylie,KylieFullName,SheHer,KylieHobby,0x0000,Age35,FiveFoot10
Luair,LuairFullName,SheHer,LuairHobby,0x0000,Age32,0x0000
Axel,AxelFullName,HeSheThey,AxelHobby,0x0000,Age21,FiveFoot3
Willa,WillaFullName,HeSheThey,WillaHobby,0x0000,Age45,FiveFoot9
Orion,OrionFullName,HeThey,OrionHobby,0x0000,Age40,SixFoot0
Astraea,AstraeaFullName,AstraeaPronouns,AstraeaHobby,0x0000,Age20,FiveFoot1
Ansel,AnselFullName,HeHim,AnselHobby,0x0000,Age42,0x0000
Evelyn,EvelynFullName,SheHer,EvelynHobby,0x0000,Age45,FiveFoot10
Rami,RamiFullName,SheHer,RamiHobby,0x0000,Age56,FiveFoot7
Brynhild,BrynhildFullName,SheHer,BrynhildHobby,0x0000,Age45,FiveFoot2
Samil,SamilFullName,TheyThem,SamilHobby,0x0000,Age73,0x0000
Kynan,KynanFullName,HeHim,KynanHobby,0x0000,Age14,FiveFoot3
Glen,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Selena,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Valter,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Riev,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Caellach,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Fado,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Ismaire,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Hayden,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
FakeEirika,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Lyon's Summon,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Knoll's Summon,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Ewan's Summon,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Lyon (Ch 17),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Morva (Ch 20),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Orson (Ch 5x),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Valter (Ch 15),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Selena (Ch 10B & 13B),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Valter (Prologue),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Breguet (Ch 1),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Bone (Ch 2),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Bazba (Ch 3),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Entombed (Ch 4),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Saar (Ch 5),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Novala (Ch 6),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Murray (Ch 7),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Tirado (Ch 8),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Binks (Ch 9A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Pablo (Ch 10A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Maelduin (Ch 12A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Aias (Ch 13A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Carlyle (Ch 14A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Caellach (Ch 15),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Pablo (Ch 13A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Gorgon (Ch 18),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Riev (Ch 19 & 20),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Gheb (Ch 9B),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Beran (Ch 10B),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Cyclops (Ch 12B),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Wight (Ch 11A),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Deathgoyle (Ch 11B),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Entombed (Monster Boss),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Hunter (Ch 16),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Brigand,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
O'Neill (Prologue),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Glen (Cutscene),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Zonta (Ch 5x),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Vigarde (Ch 14B),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Lyon (Ch Final),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Orson (Ch 16),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
0,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier (Special),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 1 (Normal),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 2,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 3,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 4,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 5,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 6,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 7,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 8,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 9,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 10 (Duessel's),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 11 (Duessel's),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 12 (Duessel's),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Soldier 13,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Remnant 1 (Main),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Cutthroat,0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Remnant 2 (Cutscene and C16 only?),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Remnant 3 (C16 only?),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Grado Remnant 4 (C16 only?),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Wraith (Sage),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
Wraith (Swords),0x0000,0x0000,0x0000,0x0000,0x0000,0x0000
